Cod;Finca;Ano;Año;FA;Semana;PPI;pH;Al;CE;MO;Cas;Mgs;Ks;Nas;Ps;Zns;Fes;Mns;Cus;Bs;Ss;CICE;CaMg;CaK;CaNa;CaP;CaZn;CaHie;CaMn;CaCu;CaB;CaS;MgK;MgNa;MgP;MgZn;MgFe;MgMn;MgCu;MgB;MgS;Kna;KP;KZn;Kfe;KMn;Kcu;KB;KS;PZn;Pfe;PMn;Pcu;PB;PS;Znfe;ZnMn;Zncu;ZnB;ZnS;FeMn;Fecu;FeB;FeS;MnCu;MnB;MnS;CuB;CuS;BS;Pcai;Pmgi;Pki;Pnai;CaMgK;Nf;Pf;Kf;Caf;Mgf;Sf;Mnf;Fef;Znf;Cuf;Bf;Naf;NPf;NKf;NCaf;NMgf;NSf;NMnf;NFef;NZnf;NCuf;NBf;NNaf;PKf;PCaf;PMgf;PSf;PMnf;PFef;PZnf;PCuf;PBf;PNaf;KCaf;KMgf;KSf;KMnf;KFef;KZnf;KCuf;KBf;KNaf;CaMgf;CaSf;CaMnf;CaFef;CaZnf;CaCuf;CaBf;CaNaf;MgSf;MgMnf;MgFef;MgZnf;MgCuf;MgBf;MgNaf;SMnf;SFef;SZnf;SCuf;SBf;SNaf;MnFef;MnZnf;MnCuf;MnBf;MnNaf;FeZnf;FeCuf;FeBf;FeNaf;ZnCuf;ZnBf;ZnNaf;CuBf;CuNaf;BNaf;HT;HJLI;HMJE;PPM;TMIN;TMAX;Da;Microp;Macrop;Ar;A
Do12.14;DonFuad;2012;Año2;Do12;14;2,65;6,76;0,04;2,1;19,53;16,2;6,64;0,44;0,36;67,51;2,01;322,4;109,26;23,96;0,33;139,86;15,4;2,44;36,82;45;0,24;8,06;0,05;0,15;0,68;49,09;0,12;15,09;18,44;0,1;3,3;0,02;0,06;0,28;20,12;0,05;1,22;0,01;0,22;0;0;0,02;1,33;0;33,59;0,21;0,62;2,82;204,58;0,48;0,01;0,02;0,08;6,09;0,01;2,95;13,46;976,97;2,31;4,56;331,09;0,78;72,61;0,17;0;105,19;43,12;2,86;2,34;31,29;29,2;2,07;41,63;10,18;3,95;2,33;292,57;194;15,28;9,43;16,62;51,15;14,13;0,7;2,87;7,39;12,55;0,1;0,15;1,91;3,1;1,76;0,57;0,05;0,2;0,52;0,89;0,01;0,01;0,14;0,22;0,12;0,04;4,09;10,53;17,89;0,14;0,21;2,72;4,42;2,51;0,81;2,57;4,37;0,03;0,05;0,67;1,08;0,61;0,2;1,7;0,01;0,02;0,26;0,42;0,24;0,08;0,01;0,01;0,15;0,25;0,14;0,05;1,51;19,15;31,04;17,61;5,72;12,7;20,58;11,68;3,79;1,62;0,92;0,3;0,57;0,18;0,32;13;8,4;9,4;0;22,7;34,1;1,25;14,9;14,9;35,44;13,23
Do12.18;DonFuad;2012;Año2;Do12;18;3,1;6,13;0,05;1,02;12,78;5,9;0,72;1,31;0,09;57,02;6,73;372,88;30,26;6,29;0,45;10,08;8,02;8,19;4,5;65,56;0,1;0,88;0,02;0,19;0,94;13,11;0,59;0,55;8;0,01;0,11;0;0,02;0,11;1,6;0,07;14,56;0,02;0,19;0;0,04;0,21;2,91;0,13;8,47;0,15;1,88;9,07;126,71;5,66;0,02;0,22;1,07;14,96;0,67;12,32;59,28;828,62;36,99;4,81;67,24;3;13,98;0,62;0,04;73,57;8,98;16,33;1,12;6,45;33,7;1,99;39,47;10,26;3,06;2,37;721,12;103,9;16,04;10,12;24,89;55,04;16,9;0,85;3,28;11,02;14,24;0,05;0,32;2,1;3,33;1,35;0,61;0,05;0,19;0,65;0,84;0;0,02;0,12;0,2;0,08;0,04;3,85;12,91;16,68;0,05;0,38;2,46;3,9;1,59;0,72;3,36;4,34;0,01;0,1;0,64;1,01;0,41;0,19;1,29;0;0,03;0,19;0,3;0,12;0,06;0;0,02;0,15;0,23;0,1;0,04;6,94;44,95;71,25;28,98;13,1;6,48;10,27;4,18;1,89;1,59;0,64;0,29;0,41;0,18;0,45;12,8;8,2;9,2;0;22,9;34,5;1,25;21,1;13,8;35,44;13,23
Do12.19;DonFuad;2012;Año2;Do12;19;4,35;5,47;0,13;0,47;14,36;4,32;0,86;1,05;0,1;36,91;2,04;361,16;30,07;18,43;0,14;5,81;6,33;5,02;4,11;43,2;0,12;2,12;0,01;0,14;0,23;30,86;0,74;0,82;8,6;0,02;0,42;0;0,03;0,05;6,14;0,15;10,5;0,03;0,51;0;0,03;0,06;7,5;0,18;18,09;0,1;1,23;2;263,64;6,35;0,01;0,07;0,11;14,57;0,35;12,01;19,6;2579,71;62,16;1,63;214,79;5,18;131,64;3,17;0,02;68,25;13,59;16,59;1,58;5,14;28,7;2,07;43,58;10,47;2,96;2,53;432,99;228,2;19,76;10,07;21,5;72,84;13,87;0,66;2,74;9,71;11,33;0,07;0,13;1,45;2,85;1,34;0,39;0,05;0,2;0,7;0,82;0;0,01;0,1;0,21;0,1;0,03;4,16;14,74;17,21;0,1;0,19;2,2;4,33;2,03;0,6;3,54;4,14;0,02;0,05;0,53;1,04;0,49;0,14;1,17;0,01;0,01;0,15;0,29;0,14;0,04;0,01;0,01;0,13;0,25;0,12;0,03;1,9;21,91;43;20,14;5,94;11,55;22,66;10,61;3,13;1,96;0,92;0,27;0,47;0,14;0,3;13,4;8;9;0;22,7;34,3;1,25;26,7;13,6;35,44;13,23
Do12.20;DonFuad;2012;Año2;Do12;20;2,01;4,77;0,26;1,65;15,22;4,8;0,8;1,27;0,11;48,8;2,35;347,43;32,19;15,45;0,3;30,27;6,98;6;3,78;43,64;0,1;2,04;0,01;0,15;0,31;16;0,16;0,63;7,27;0,02;0,34;0;0,02;0,05;2,67;0,03;11,55;0,03;0,54;0;0,04;0,08;4,23;0,04;20,77;0,14;1,52;3,16;162,67;1,61;0,01;0,07;0,15;7,83;0,08;10,79;22,49;1158,1;11,48;2,08;107,3;1,06;51,5;0,51;0,01;68,77;11,46;18,19;1,58;5,43;26,8;1,69;40,13;6,59;2,31;1,89;404,74;85,84;15,97;7,72;15,37;95,49;15,86;0,67;4,07;11,6;14,16;0,07;0,31;1,68;3,47;1,74;0,28;0,04;0,26;0,73;0,89;0;0,02;0,11;0,22;0,11;0,02;6,09;17,38;21,2;0,1;0,47;2,51;5,2;2,61;0,42;2,85;3,48;0,02;0,08;0,41;0,85;0,43;0,07;1,22;0,01;0,03;0,14;0,3;0,15;0,02;0;0,02;0,12;0,25;0,12;0,02;4,72;25,34;52,4;26,33;4,24;5,37;11,11;5,58;0,9;2,07;1,04;0,17;0,5;0,08;0,16;13,4;8,4;9,4;52,5;22,8;34,5;1,25;20,3;20,5;35,44;13,23
Do12.21;DonFuad;2012;Año2;Do12;21;2,81;5,01;0,1;2,2;14,86;6,48;1,32;1,09;0,15;53,52;2,21;303,14;42,67;19,28;0,24;72,14;9,04;4,91;5,94;43,2;0,12;2,93;0,02;0,15;0,34;27;0,09;1,21;8,8;0,02;0,6;0;0,03;0,07;5,5;0,02;7,27;0,02;0,49;0;0,03;0,06;4,54;0,02;24,22;0,18;1,25;2,78;223;0,74;0,01;0,05;0,11;9,21;0,03;7,1;15,72;1263,08;4,2;2,21;177,79;0,59;80,33;0,27;0;71,68;14,6;12,06;1,66;7,69;26,9;1,6;36,53;6,85;2,26;1,86;445,55;135,3;15,79;7,07;13,98;67,93;16,83;0,74;3,93;11,9;14,43;0,06;0,2;1,7;3,81;1,92;0,4;0,04;0,23;0,71;0,86;0;0,01;0,1;0,23;0,11;0,02;5,33;16,16;19,6;0,08;0,27;2,31;5,17;2,61;0,54;3,03;3,68;0,02;0,05;0,43;0,97;0,49;0,1;1,21;0,01;0,02;0,14;0,32;0,16;0,03;0;0,01;0,12;0,26;0,13;0,03;3,29;28,22;63,05;31,87;6,56;8,57;19,15;9,68;1,99;2,23;1,13;0,23;0,51;0,1;0,21;14,2;8,6;9,6;22,5;24,1;35,2;1,25;19,6;16,9;35,44;13,23
Do12.22;DonFuad;2012;Año2;Do12;22;2,13;6,7;0,05;3,47;14,47;10,88;1,86;0,83;0,54;97,5;3,11;263,37;76,69;33,62;0,18;123,71;14,11;5,85;13,11;20,15;0,11;3,5;0,04;0,14;0,32;60,44;0,09;2,24;3,44;0,02;0,6;0,01;0,02;0,06;10,33;0,02;1,54;0,01;0,27;0;0,01;0,02;4,61;0,01;31,35;0,37;1,27;2,9;541,67;0,79;0,01;0,04;0,09;17,28;0,03;3,43;7,83;1463,17;2,13;2,28;426,06;0,62;186,78;0,27;0;77,11;13,18;5,88;3,83;13,12;27,2;1,67;37,61;8,21;2,66;1,94;387,32;86,98;16,41;7,54;15,31;98,9;16,29;0,72;3,31;10,24;14;0,07;0,31;1,66;3,61;1,78;0,28;0,04;0,2;0,63;0,86;0;0,02;0,1;0,22;0,11;0,02;4,58;14,16;19,36;0,1;0,43;2,29;4,99;2,46;0,38;3,09;4,23;0,02;0,09;0,5;1,09;0,54;0,08;1,37;0,01;0,03;0,16;0,35;0,17;0,03;0,01;0,02;0,12;0,26;0,13;0,02;4,45;23,6;51,39;25,3;3,92;5,3;11,54;5,68;0,88;2,18;1,07;0,17;0,49;0,08;0,15;13,8;8,6;9,6;0;25,4;31,6;1,25;20,8;20,3;35,44;13,23
Do12.23;DonFuad;2012;Año2;Do12;23;3,45;5,42;0,08;2,64;14,98;7,82;1,68;0,76;0,19;45,6;1,98;307,47;54,07;28,89;0,38;53,76;10,45;4,65;10,29;41,16;0,17;3,95;0,03;0,14;0,27;20,58;0,15;2,21;8,84;0,04;0,85;0,01;0,03;0,06;4,42;0,03;4;0,02;0,38;0;0,01;0,03;2;0,01;23,03;0,15;0,84;1,58;120;0,85;0,01;0,04;0,07;5,21;0,04;5,69;10,64;809,13;5,72;1,87;142,29;1,01;76,03;0,54;0,01;74,83;16,08;7,27;1,82;10,03;30,1;1,91;44,72;9,39;3,1;2,15;492,17;161,1;16,8;8,85;20,26;94,35;15,75;0,67;3,21;9,72;14,01;0,06;0,19;1,79;3,4;1,49;0,32;0,04;0,2;0,62;0,89;0;0,01;0,11;0,22;0,09;0,02;4,76;14,44;20,82;0,09;0,28;2,66;5,05;2,21;0,47;3,03;4,37;0,02;0,06;0,56;1,06;0,46;0,1;1,44;0,01;0,02;0,18;0,35;0,15;0,03;0;0,01;0,13;0,24;0,11;0,02;3,06;29,29;55,59;24,29;5,22;9,59;18,19;7,95;1,71;1,9;0,83;0,18;0,44;0,09;0,21;13,8;8,6;9,6;52,5;23,1;34,4;1,25;22,9;14,7;35,44;13,23
Do12.24;DonFuad;2012;Año2;Do12;24;3,22;5,87;0,05;1,96;17,53;8,26;2,2;0,81;0,18;49,3;7,03;349,77;42,86;19,31;0,5;12,98;11,45;3,75;10,2;45,89;0,17;1,17;0,02;0,19;0,43;16,52;0,64;2,72;12,22;0,04;0,31;0,01;0,05;0,11;4,4;0,17;4,5;0,02;0,12;0;0,02;0,04;1,62;0,06;7,01;0,14;1,15;2,55;98,6;3,8;0,02;0,16;0,36;14,06;0,54;8,16;18,11;699,54;26,95;2,22;85,72;3,3;38,62;1,49;0,04;72,14;19,21;7,07;1,57;10,98;37;2,29;44,28;9,88;2,78;2,71;430,33;134,9;22,07;12,81;21,42;93,72;16,15;0,84;3,75;13,29;13,66;0,09;0,27;1,68;2,89;1,73;0,39;0,05;0,23;0,82;0,85;0,01;0,02;0,1;0,18;0,11;0,02;4,48;15,9;16,35;0,1;0,33;2,01;3,46;2,07;0,47;3,55;3,65;0,02;0,07;0,45;0,77;0,46;0,11;1,03;0,01;0,02;0,13;0,22;0,13;0,03;0,01;0,02;0,12;0,21;0,13;0,03;3,19;19,5;33,59;20,09;4,59;6,11;10,53;6,3;1,44;1,72;1,03;0,24;0,6;0,14;0,23;13,2;8;9;63,8;23,1;33,9;1,25;19,4;19,9;35,44;13,23
Do12.25;DonFuad;2012;Año2;Do12;25;4,02;5,6;0,1;0,36;14,59;5,34;1,26;0,59;0,13;33,58;1,33;418,28;39,55;8,81;0,13;6,14;7,32;4,24;9,05;41,08;0,16;4,02;0,01;0,14;0,61;41,08;0,87;2,14;9,69;0,04;0,95;0;0,03;0,14;9,69;0,21;4,54;0,02;0,44;0;0,01;0,07;4,54;0,1;25,25;0,08;0,85;3,81;258,31;5,47;0;0,03;0,15;10,23;0,22;10,58;47,48;3217,54;68,12;4,49;304,23;6,44;67,77;1,43;0,02;72,95;17,21;8,06;1,78;7,48;27,2;1,65;40,58;6,85;2,36;1,84;387,77;75,97;14,97;6,8;17,18;48,05;16,52;0,67;3,97;11,53;14,82;0,07;0,36;1,82;4;1,58;0,57;0,04;0,24;0,7;0,9;0;0,02;0,11;0,24;0,1;0,03;5,92;17,21;22,11;0,1;0,53;2,71;5,96;2,36;0,84;2,91;3,73;0,02;0,09;0,46;1,01;0,4;0,14;1,28;0,01;0,03;0,16;0,35;0,14;0,05;0;0,02;0,12;0,27;0,11;0,04;5,1;25,91;56,99;22,58;8,07;5,08;11,16;4,42;1,58;2,2;0,87;0,31;0,4;0,14;0,36;13,8;8,8;9,8;0;23,1;34,1;1,25;17,5;20,9;35,44;13,23
Do12.26;DonFuad;2012;Año2;Do12;26;3;5,34;0,13;0,88;11,38;3,64;1;1,09;0,12;52,5;1,95;364,92;35,53;4,78;0,12;17,91;5,85;3,64;3,34;30,33;0,07;1,87;0,01;0,1;0,76;30,33;0,2;0,92;8,33;0,02;0,51;0;0,03;0,21;8,33;0,06;9,08;0,02;0,56;0;0,03;0,23;9,08;0,06;26,92;0,14;1,48;10,98;437,5;2,93;0,01;0,05;0,41;16,25;0,11;10,27;76,34;3041;20,38;7,43;296,08;1,98;39,83;0,27;0,01;62,22;17,09;18,63;2,05;4,56;25,4;1,73;38,87;6,28;2,2;1,89;410,4;73,97;14,55;6,67;14,91;63,17;14,64;0,65;4,04;11,53;13,45;0,06;0,34;1,75;3,81;1,7;0,4;0,04;0,28;0,79;0,92;0;0,02;0,12;0,26;0,12;0,03;6,19;17,65;20,58;0,09;0,53;2,67;5,83;2,61;0,62;2,85;3,33;0,02;0,08;0,43;0,94;0,42;0,1;1,17;0,01;0,03;0,15;0,33;0,15;0,03;0;0,03;0,13;0,28;0,13;0,03;5,55;28,2;61,57;27,53;6,5;5,08;11,1;4,96;1,17;2,18;0,98;0,23;0,45;0,11;0,24;13,4;8,6;9,6;0;22,6;33,8;1,25;20;18,3;35,44;13,23
Do12.27;DonFuad;2012;Año2;Do12;27;3,24;5,07;0,11;2,05;13,43;5,18;0,96;1,32;0,08;79,75;4,6;364,75;37,14;20,69;0,29;46,41;7,54;5,4;3,92;64,75;0,06;1,13;0,01;0,14;0,25;17,86;0,11;0,73;12;0,01;0,21;0;0,03;0,05;3,31;0,02;16,5;0,02;0,29;0;0,04;0,06;4,55;0,03;17,34;0,22;2,15;3,85;275;1,72;0,01;0,12;0,22;15,86;0,1;9,82;17,63;1257,76;7,86;1,8;128,07;0,8;71,34;0,45;0,01;68,7;12,73;17,51;1,06;5,91;32,9;2,11;46,19;8,39;2,59;2,5;456,86;256,2;18,71;10,3;25,15;110,84;15,56;0,71;3,92;12,71;13,17;0,07;0,13;1,76;3,19;1,31;0,3;0,05;0,25;0,82;0,85;0;0,01;0,11;0,21;0,08;0,02;5,51;17,84;18,49;0,1;0,18;2,47;4,48;1,84;0,42;3,24;3,36;0,02;0,03;0,45;0,81;0,33;0,08;1,04;0,01;0,01;0,14;0,25;0,1;0,02;0,01;0,01;0,13;0,24;0,1;0,02;1,78;24,42;44,36;18,16;4,12;13,69;24,88;10,19;2,31;1,82;0,74;0,17;0,41;0,09;0,23;13,4;8,2;9,2;5;23,6;34,1;1,25;26,4;20,1;35,44;13,23
Do12.28;DonFuad;2012;Año2;Do12;28;3,45;4,89;0,13;2,37;15,92;6,7;1,56;0,69;0,13;37,27;7,93;344,57;39,18;27,37;0,1;74,82;9,08;4,29;9,71;51,54;0,18;0,84;0,02;0,17;0,24;67;0,09;2,26;12;0,04;0,2;0;0,04;0,06;15,6;0,02;5,31;0,02;0,09;0;0,02;0,03;6,9;0,01;4,7;0,11;0,95;1,36;372,7;0,5;0,02;0,2;0,29;79,3;0,11;8,79;12,59;3445,7;4,61;1,43;391,8;0,52;273,7;0,37;0;73,79;17,18;7,6;1,43;8,96;30,5;1,95;43,49;8,17;2,92;2,3;379,93;184,8;20,7;8,89;21,93;84,2;15,66;0,7;3,73;10,45;13,24;0,08;0,17;1,47;3,43;1,39;0,36;0,04;0,24;0,67;0,85;0,01;0,01;0,09;0,22;0,09;0,02;5,32;14,89;18,88;0,11;0,24;2,1;4,89;1,98;0,52;2,8;3,55;0,02;0,04;0,39;0,92;0,37;0,1;1,27;0,01;0,02;0,14;0,33;0,13;0,03;0,01;0,01;0,11;0,26;0,1;0,03;2,06;18,35;42,74;17,32;4,51;8,93;20,79;8,43;2,19;2,33;0,94;0,25;0,41;0,11;0,26;14,2;8,2;9,2;0;22,6;34,8;1,25;24,5;20,9;35,44;13,23
Do12.29;DonFuad;2012;Año2;Do12;29;3,35;4,63;0,21;2,46;13,04;5,18;1,08;0,67;0,12;34,25;2,49;271,94;40,13;39,52;0,22;36,45;7,05;4,8;7,73;43,17;0,15;2,08;0,02;0,13;0,13;23,55;0,14;1,61;9;0,03;0,43;0;0,03;0,03;4,91;0,03;5,58;0,02;0,27;0;0,02;0,02;3,05;0,02;13,76;0,13;0,85;0,87;155,68;0,94;0,01;0,06;0,06;11,32;0,07;6,78;6,88;1236,09;7,46;1,02;182,41;1,1;179,64;1,08;0,01;73,48;15,32;9,5;1,7;6,79;30,9;1,68;36,67;7,65;2,7;2,06;415,43;114;18,6;6,98;13,77;50,26;18,35;0,84;4,04;11,45;15,01;0,07;0,27;1,66;4,42;2,24;0,61;0,05;0,22;0,62;0,82;0;0,01;0,09;0,24;0,12;0,03;4,8;13,59;17,82;0,09;0,32;1,97;5,25;2,66;0,73;2,83;3,71;0,02;0,07;0,41;1,09;0,56;0,15;1,31;0,01;0,02;0,15;0,39;0,2;0,05;0;0,02;0,11;0,29;0,15;0,04;3,64;22,33;59,49;30,16;8,26;6,13;16,32;8,28;2,27;2,66;1,35;0,37;0,51;0,14;0,27;13,2;7,6;8,6;3,4;22,6;33;1,25;17,5;16,5;35,44;13,23
Do12.30;DonFuad;2012;Año2;Do12;30;3,76;6,07;0,05;1,85;15,74;9,26;2,62;0,36;0,15;41,99;1,56;301,78;58,24;29,92;0,42;33,79;12,39;3,53;25,72;61,73;0,22;5,94;0,03;0,16;0,31;22,05;0,27;7,28;17,47;0,06;1,68;0,01;0,04;0,09;6,24;0,08;2,4;0,01;0,23;0;0,01;0,01;0,86;0,01;26,92;0,14;0,72;1,4;99,98;1,24;0,01;0,03;0,05;3,71;0,05;5,18;10,09;718,52;8,93;1,95;138,67;1,72;71,24;0,89;0,01;74,74;21,15;2,91;1,21;16,54;31,7;1,77;35,49;9,15;3,25;2,06;290,33;122;14,41;9,14;16,27;46,28;17,87;0,89;3,46;9,75;15,39;0,11;0,26;2,2;3,47;1,95;0,69;0,05;0,19;0,55;0,86;0,01;0,01;0,12;0,19;0,11;0,04;3,88;10,91;17,23;0,12;0,29;2,46;3,88;2,18;0,77;2,81;4,44;0,03;0,08;0,64;1;0,56;0,2;1,58;0,01;0,03;0,23;0,36;0,2;0,07;0,01;0,02;0,14;0,23;0,13;0,04;2,38;20,15;31,78;17,84;6,27;8,47;13,35;7,5;2,64;1,58;0,89;0,31;0,56;0,2;0,35;14,2;8,4;9,4;100,4;22,7;33,4;1,25;19,9;16,1;35,44;13,23
Do12.31;DonFuad;2012;Año2;Do12;31;4,21;6,76;0,04;2,1;19,53;16,2;6,64;0,44;0,36;67,51;2,01;322,4;109,26;23,96;0,33;139,86;15,4;2,44;36,82;45;0,24;8,06;0,05;0,15;0,68;49,09;0,12;15,09;18,44;0,1;3,3;0,02;0,06;0,28;20,12;0,05;1,22;0,01;0,22;0;0;0,02;1,33;0;33,59;0,21;0,62;2,82;204,58;0,48;0,01;0,02;0,08;6,09;0,01;2,95;13,46;976,97;2,31;4,56;331,09;0,78;72,61;0,17;0;105,19;43,12;2,86;2,34;31,29;29,2;2,07;41,63;10,18;3,95;2,33;292,57;194;15,28;9,43;16,62;51,15;14,13;0,7;2,87;7,39;12,55;0,1;0,15;1,91;3,1;1,76;0,57;0,05;0,2;0,52;0,89;0,01;0,01;0,14;0,22;0,12;0,04;4,09;10,53;17,89;0,14;0,21;2,72;4,42;2,51;0,81;2,57;4,37;0,03;0,05;0,67;1,08;0,61;0,2;1,7;0,01;0,02;0,26;0,42;0,24;0,08;0,01;0,01;0,15;0,25;0,14;0,05;1,51;19,15;31,04;17,61;5,72;12,7;20,58;11,68;3,79;1,62;0,92;0,3;0,57;0,18;0,32;14;8,2;9,2;42,8;23;33,2;1,25;15,9;17,8;35,44;13,23
Do12.32;DonFuad;2012;Año2;Do12;32;4,32;6,51;0,05;2,34;17,89;8,7;9,24;0,53;0,4;75,92;1,63;307,36;107,63;18,2;0,42;44;18,87;0,94;16,42;21,75;0,11;5,34;0,03;0,08;0,48;20,71;0,2;17,43;23,1;0,12;5,67;0,03;0,09;0,51;22;0,21;1,33;0,01;0,33;0;0;0,03;1,26;0,01;46,58;0,25;0,71;4,17;180,76;1,73;0,01;0,02;0,09;3,88;0,04;2,86;16,89;731,81;6,99;5,91;256,26;2,45;43,33;0,41;0,01;46,1;48,97;2,81;2,12;26,13;32,4;2,12;40,58;9,21;4,47;2,36;387,74;151,8;13,86;9,14;19,42;60,07;15,25;0,8;3,52;7,25;13,72;0,08;0,21;2,34;3,55;1,67;0,54;0,05;0,23;0,48;0,9;0,01;0,01;0,15;0,23;0,11;0,04;4,41;9,07;17,18;0,1;0,27;2,93;4,44;2,09;0,68;2,06;3,9;0,02;0,06;0,66;1,01;0,47;0,15;1,89;0,01;0,03;0,32;0,49;0,23;0,07;0,01;0,02;0,17;0,26;0,12;0,04;2,55;27,98;42,43;19,97;6,46;10,95;16,61;7,82;2,53;1,52;0,71;0,23;0,47;0,15;0,32;13,8;8,2;9,2;54,3;23,4;34,8;1,25;17,6;14,4;35,44;13,23
Do12.35;DonFuad;2012;Año2;Do12;35;4,12;6,13;0,05;1,02;12,78;5,9;0,72;1,31;0,09;57,02;6,73;372,88;30,26;6,29;0,45;10,08;8,02;8,19;4,5;65,56;0,1;0,88;0,02;0,19;0,94;13,11;0,59;0,55;8;0,01;0,11;0;0,02;0,11;1,6;0,07;14,56;0,02;0,19;0;0,04;0,21;2,91;0,13;8,47;0,15;1,88;9,07;126,71;5,66;0,02;0,22;1,07;14,96;0,67;12,32;59,28;828,62;36,99;4,81;67,24;3;13,98;0,62;0,04;73,57;8,98;16,33;1,12;6,45;33,7;1,99;39,47;10,26;3,06;2,37;721,12;103,9;16,04;10,12;24,89;55,04;16,9;0,85;3,28;11,02;14,24;0,05;0,32;2,1;3,33;1,35;0,61;0,05;0,19;0,65;0,84;0;0,02;0,12;0,2;0,08;0,04;3,85;12,91;16,68;0,05;0,38;2,46;3,9;1,59;0,72;3,36;4,34;0,01;0,1;0,64;1,01;0,41;0,19;1,29;0;0,03;0,19;0,3;0,12;0,06;0;0,02;0,15;0,23;0,1;0,04;6,94;44,95;71,25;28,98;13,1;6,48;10,27;4,18;1,89;1,59;0,64;0,29;0,41;0,18;0,45;14,2;7,6;8,6;3,5;22,6;34;1,25;15,1;20,1;35,44;13,23
Do12.36;DonFuad;2012;Año2;Do12;36;4,04;5,47;0,13;0,47;14,36;4,32;0,86;1,05;0,1;36,91;2,04;361,16;30,07;18,43;0,14;5,81;6,33;5,02;4,11;43,2;0,12;2,12;0,01;0,14;0,23;30,86;0,74;0,82;8,6;0,02;0,42;0;0,03;0,05;6,14;0,15;10,5;0,03;0,51;0;0,03;0,06;7,5;0,18;18,09;0,1;1,23;2;263,64;6,35;0,01;0,07;0,11;14,57;0,35;12,01;19,6;2579,71;62,16;1,63;214,79;5,18;131,64;3,17;0,02;68,25;13,59;16,59;1,58;5,14;28,7;2,07;43,58;10,47;2,96;2,53;432,99;228,2;19,76;10,07;21,5;72,84;13,87;0,66;2,74;9,71;11,33;0,07;0,13;1,45;2,85;1,34;0,39;0,05;0,2;0,7;0,82;0;0,01;0,1;0,21;0,1;0,03;4,16;14,74;17,21;0,1;0,19;2,2;4,33;2,03;0,6;3,54;4,14;0,02;0,05;0,53;1,04;0,49;0,14;1,17;0,01;0,01;0,15;0,29;0,14;0,04;0,01;0,01;0,13;0,25;0,12;0,03;1,9;21,91;43;20,14;5,94;11,55;22,66;10,61;3,13;1,96;0,92;0,27;0,47;0,14;0,3;13,6;7,8;8,8;25,5;22,7;34,1;1,25;13,5;13,7;35,44;13,23
Do12.37;DonFuad;2012;Año2;Do12;37;2,99;4,77;0,26;1,65;15,22;4,8;0,8;1,27;0,11;48,8;2,35;347,43;32,19;15,45;0,3;30,27;6,98;6;3,78;43,64;0,1;2,04;0,01;0,15;0,31;16;0,16;0,63;7,27;0,02;0,34;0;0,02;0,05;2,67;0,03;11,55;0,03;0,54;0;0,04;0,08;4,23;0,04;20,77;0,14;1,52;3,16;162,67;1,61;0,01;0,07;0,15;7,83;0,08;10,79;22,49;1158,1;11,48;2,08;107,3;1,06;51,5;0,51;0,01;68,77;11,46;18,19;1,58;5,43;26,8;1,69;40,13;6,59;2,31;1,89;404,74;85,84;15,97;7,72;15,37;95,49;15,86;0,67;4,07;11,6;14,16;0,07;0,31;1,68;3,47;1,74;0,28;0,04;0,26;0,73;0,89;0;0,02;0,11;0,22;0,11;0,02;6,09;17,38;21,2;0,1;0,47;2,51;5,2;2,61;0,42;2,85;3,48;0,02;0,08;0,41;0,85;0,43;0,07;1,22;0,01;0,03;0,14;0,3;0,15;0,02;0;0,02;0,12;0,25;0,12;0,02;4,72;25,34;52,4;26,33;4,24;5,37;11,11;5,58;0,9;2,07;1,04;0,17;0,5;0,08;0,16;13;8;9;7,5;22,9;34;1,25;19,6;18,4;35,44;13,23
Do12.38;DonFuad;2012;Año2;Do12;38;3,65;5,01;0,1;2,2;14,86;6,48;1,32;1,09;0,15;53,52;2,21;303,14;42,67;19,28;0,24;72,14;9,04;4,91;5,94;43,2;0,12;2,93;0,02;0,15;0,34;27;0,09;1,21;8,8;0,02;0,6;0;0,03;0,07;5,5;0,02;7,27;0,02;0,49;0;0,03;0,06;4,54;0,02;24,22;0,18;1,25;2,78;223;0,74;0,01;0,05;0,11;9,21;0,03;7,1;15,72;1263,08;4,2;2,21;177,79;0,59;80,33;0,27;0;71,68;14,6;12,06;1,66;7,69;26,9;1,6;36,53;6,85;2,26;1,86;445,55;135,3;15,79;7,07;13,98;67,93;16,83;0,74;3,93;11,9;14,43;0,06;0,2;1,7;3,81;1,92;0,4;0,04;0,23;0,71;0,86;0;0,01;0,1;0,23;0,11;0,02;5,33;16,16;19,6;0,08;0,27;2,31;5,17;2,61;0,54;3,03;3,68;0,02;0,05;0,43;0,97;0,49;0,1;1,21;0,01;0,02;0,14;0,32;0,16;0,03;0;0,01;0,12;0,26;0,13;0,03;3,29;28,22;63,05;31,87;6,56;8,57;19,15;9,68;1,99;2,23;1,13;0,23;0,51;0,1;0,21;13,6;8,8;9,8;7,3;22,4;34,3;1,25;17,3;15,7;35,44;13,23
